Theta_MCP,Theta_PIP,Theta_DIP
9.629003692348270249e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.596288557225516058e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.596288557225516058e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.596288557225516058e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.596288557225516058e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.596288557225516058e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.596288557225516058e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.547285617050133055e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.505431154625516399e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.420039901941690630e+01,7.416728087428028005e+01,9.166869853810862168e+00
9.301487674203272604e+01,7.298156102780372123e+01,6.849058957955359794e+00
